序号,中文名,备选中文名,拉丁名,英文名,目,科,ebird,birdreport
802,灰腹地莺,,Tesia cyaniventer,Grey-bellied Tesia,雀形目,树莺科,,
803,金冠地莺,,Tesia olivea,Slaty-bellied Tesia,雀形目,树莺科,,
804,宽嘴鹟莺,,Tickellia hodgsoni,Broad-billed Warbler,雀形目,树莺科,,
805,鳞头树莺,,Urosphena squameiceps,Asian Stubtail,雀形目,树莺科,,
806,红梅花雀,,Amandava amandava,Red Avadavat,雀形目,梅花雀科,,
807,长尾鹦雀,,Erythrura prasina,Pin-tailed Parrotfinch,雀形目,梅花雀科,,
808,橙颊梅花雀,,Estrilda melpoda,Orange-cheeked Waxbill,雀形目,梅花雀科,,
809,白喉文鸟,,Euodice malabarica,Indian Silverbill,雀形目,梅花雀科,,
810,栗腹文鸟,,Lonchura atricapilla,Chestnut Munia,雀形目,梅花雀科,,
811,禾雀,,Lonchura oryzivora,Java Sparrow,雀形目,梅花雀科,,
812,斑文鸟,,Lonchura punctulata,Scaly-breasted Munia,雀形目,梅花雀科,,
813,白腰文鸟,,Lonchura striata,White-rumped Munia,雀形目,梅花雀科,,
814,白领八哥,,Acridotheres albocinctus,Collared Myna,雀形目,椋鸟科,,
815,红嘴椋鸟,,Acridotheres burmannicus,Vinous-breasted Starling,雀形目,椋鸟科,,
816,八哥,,Acridotheres cristatellus,Crested Myna,雀形目,椋鸟科,,
817,林八哥,,Acridotheres grandis,Great Myna,雀形目,椋鸟科,,
818,爪哇八哥,,Acridotheres javanicus,Javan Myna,雀形目,椋鸟科,,
819,家八哥,,Acridotheres tristis,Common Myna,雀形目,椋鸟科,,
820,紫背椋鸟,,Agropsar philippensis,Chestnut-cheeked Starling,雀形目,椋鸟科,,
821,北椋鸟,,Agropsar sturninus,Daurian Starling,雀形目,椋鸟科,,
822,金冠树八哥,,Ampeliceps coronatus,Golden-crested Myna,雀形目,椋鸟科,,
823,亚洲辉椋鸟,,Aplonis panayensis,Asian Glossy Starling,雀形目,椋鸟科,,
824,鹩哥,,Gracula religiosa,Common Hill Myna,雀形目,椋鸟科,,
825,斑椋鸟,,Gracupica contra,Indian Pied Myna,雀形目,椋鸟科,,
826,暹罗斑椋鸟,泰国斑椋鸟,Gracupica floweri,Siamese Pied Myna,雀形目,椋鸟科,,
827,黑领椋鸟,,Gracupica nigricollis,Black-collared Starling,雀形目,椋鸟科,,
828,粉红椋鸟,,Pastor roseus,Rosy Starling,雀形目,椋鸟科,,
829,斑翅椋鸟,,Saroglossa spilopterus,Spot-winged Starling,雀形目,椋鸟科,,
830,灰椋鸟,,Spodiopsar cineraceus,White-cheeked Starling,雀形目,椋鸟科,,
831,丝光椋鸟,,Spodiopsar sericeus,Red-billed Starling,雀形目,椋鸟科,,
832,灰头椋鸟,,Sturnia malabarica,Chestnut-tailed Starling,雀形目,椋鸟科,,
833,黑冠椋鸟,,Sturnia pagodarum,Brahminy Starling,雀形目,椋鸟科,,
834,灰背椋鸟,,Sturnia sinensis,White-shouldered Starling,雀形目,椋鸟科,,
835,紫翅椋鸟,,Sturnus vulgaris,Common Starling,雀形目,椋鸟科,,
836,河乌,,Cinclus cinclus,White-throated Dipper,雀形目,河乌科,,
837,褐河乌,,Cinclus pallasii,Brown Dipper,雀形目,河乌科,,
838,金腰燕,,Cecropis daurica,Red-rumped Swallow,雀形目,燕科,,
839,斑腰燕,,Cecropis striolata,Striated Swallow,雀形目,燕科,,
840,烟腹毛脚燕,,Delichon dasypus,Asian House Martin,雀形目,燕科,,
841,黑喉毛脚燕,,Delichon nipalense,Nepal House Martin,雀形目,燕科,,
842,毛脚燕,,Delichon urbicum,Common House Martin,雀形目,燕科,,
843,家燕,,Hirundo rustica,Barn Swallow,雀形目,燕科,,
844,线尾燕,,Hirundo smithii,Wire-tailed Swallow,雀形目,燕科,,
845,洋燕,,Hirundo tahitica,Pacific Swallow,雀形目,燕科,洋燕 (洋斑燕),
846,黄额燕,,Petrochelidon fluvicola,Streak-throated Swallow,雀形目,燕科,,
847,纯色岩燕,,Ptyonoprogne concolor,Dusky Crag Martin,雀形目,燕科,,
848,岩燕,,Ptyonoprogne rupestris,Eurasian Crag Martin,雀形目,燕科,,
849,灰喉沙燕,,Riparia chinensis,Grey-throated Martin,雀形目,燕科,,
850,淡色崖沙燕,淡色沙燕,Riparia diluta,Pale Martin,雀形目,燕科,,
851,崖沙燕,,Riparia riparia,Sand Martin,雀形目,燕科,,
852,白腰朱顶雀,,Acanthis flammea,Common Redpoll,雀形目,燕雀科,,
853,极北朱顶雀,,Acanthis hornemanni,Arctic Redpoll,雀形目,燕雀科,,
854,赤朱雀,,Agraphospiza rubescens,Blanford's Rosefinch,雀形目,燕雀科,,
855,蒙古沙雀,,Bucanetes mongolicus,Mongolian Finch,雀形目,燕雀科,,
856,红眉金翅雀,,Callacanthis burtoni,Spectacled Finch,雀形目,燕雀科,,
857,红额金翅雀,,Carduelis carduelis,European Goldfinch,雀形目,燕雀科,,
858,中华朱雀,,Carpodacus davidianus,Chinese Beautiful Rosefinch,雀形目,燕雀科,,
859,白眉朱雀,,Carpodacus dubius,Chinese White-browed Rosefinch,雀形目,燕雀科,,
860,棕朱雀,,Carpodacus edwardsii,Dark-rumped Rosefinch,雀形目,燕雀科,,
861,普通朱雀,,Carpodacus erythrinus,Common Rosefinch,雀形目,燕雀科,,
862,台湾酒红朱雀,,Carpodacus formosanus,Taiwan Rosefinch,雀形目,燕雀科,,
863,喜山红腰朱雀,,Carpodacus grandis,Blyth's Rosefinch,雀形目,燕雀科,,
864,中华长尾雀,,Carpodacus lepidus,Chinese Long-tailed Rosefinch,雀形目,燕雀科,,
865,红眉朱雀,,Carpodacus pulcherrimus,Himalayan Beautiful Rosefinch,雀形目,燕雀科,,
866,红胸朱雀,,Carpodacus puniceus,Red-fronted Rosefinch,雀形目,燕雀科,,
867,红腰朱雀,,Carpodacus rhodochlamys,Red-mantled Rosefinch,雀形目,燕雀科,,
868,藏雀,,Carpodacus roborowskii,Tibetan Rosefinch,雀形目,燕雀科,,
869,粉眉朱雀,,Carpodacus rodochroa,Pink-browed Rosefinch,雀形目,燕雀科,,
870,点翅朱雀,,Carpodacus rodopeplus,Spot-winged Rosefinch,雀形目,燕雀科,,
871,北朱雀,,Carpodacus roseus,Pallas's Rosefinch,雀形目,燕雀科,,
872,大朱雀,,Carpodacus rubicilla,Great Rosefinch,雀形目,燕雀科,,
873,拟大朱雀,,Carpodacus rubicilloides,Streaked Rosefinch,雀形目,燕雀科,,
874,长尾雀,,Carpodacus sibiricus,Long-tailed Rosefinch,雀形目,燕雀科,,
875,褐头朱雀,,Carpodacus sillemi,Sillem's Rosefinch,雀形目,燕雀科,,
876,血雀,,Carpodacus sipahi,Scarlet Finch,雀形目,燕雀科,,
877,沙色朱雀,,Carpodacus stoliczkae,Pale Rosefinch,雀形目,燕雀科,,
878,红眉松雀,,Carpodacus subhimachalus,Crimson-browed Finch,雀形目,燕雀科,,
879,喜山白眉朱雀,,Carpodacus thura,Himalayan White-browed Rosefinch,雀形目,燕雀科,,
880,斑翅朱雀,,Carpodacus trifasciatus,Three-banded Rosefinch,雀形目,燕雀科,,
881,淡腹点翅朱雀,,Carpodacus verreauxii,Sharpe's Rosefinch,雀形目,燕雀科,,
882,酒红朱雀,,Carpodacus vinaceus,Vinaceous Rosefinch,雀形目,燕雀科,,
883,曙红朱雀,,Carpodacus waltoni,Pink-rumped Rosefinch,雀形目,燕雀科,,
884,黑头金翅雀,,Chloris ambigua,Black-headed Greenfinch,雀形目,燕雀科,,
885,欧金翅雀,,Chloris chloris,European Greenfinch,雀形目,燕雀科,,
886,金翅雀,,Chloris sinica,Oriental Greenfinch,雀形目,燕雀科,,
887,高山金翅雀,,Chloris spinoides,Yellow-breasted Greenfinch,雀形目,燕雀科,,
888,锡嘴雀,,Coccothraustes coccothraustes,Hawfinch,雀形目,燕雀科,,
889,黑尾蜡嘴雀,,Eophona migratoria,Chinese Grosbeak,雀形目,燕雀科,,
890,黑头蜡嘴雀,,Eophona personata,Japanese Grosbeak,雀形目,燕雀科,,
891,苍头燕雀,,Fringilla coelebs,Common Chaffinch,雀形目,燕雀科,,
892,燕雀,,Fringilla montifringilla,Brambling,雀形目,燕雀科,,
893,粉红腹岭雀,,Leucosticte arctoa,Asian Rosy Finch,雀形目,燕雀科,,
894,高山岭雀,,Leucosticte brandti,Brandt's Mountain Finch,雀形目,燕雀科,,
895,林岭雀,,Leucosticte nemoricola,Plain Mountain Finch,雀形目,燕雀科,,
896,赤胸朱顶雀,,Linaria cannabina,Common Linnet,雀形目,燕雀科,,
897,黄嘴朱顶雀,,Linaria flavirostris,Twite,雀形目,燕雀科,,
898,红交嘴雀,,Loxia curvirostra,Red Crossbill,雀形目,燕雀科,,
899,白翅交嘴雀,,Loxia leucoptera,Two-barred Crossbill,雀形目,燕雀科,,
900,黄颈拟蜡嘴雀,,Mycerobas affinis,Collared Grosbeak,雀形目,燕雀科,,
901,白斑翅拟蜡嘴雀,,Mycerobas carnipes,White-winged Grosbeak,雀形目,燕雀科,,
902,白点翅拟蜡嘴雀,,Mycerobas melanozanthos,Spot-winged Grosbeak,雀形目,燕雀科,,
903,松雀,,Pinicola enucleator,Pine Grosbeak,雀形目,燕雀科,,
904,暗胸朱雀,,Procarduelis nipalensis,Dark-breasted Rosefinch,雀形目,燕雀科,,
905,金枕黑雀,,Pyrrhoplectes epauletta,Gold-naped Finch,雀形目,燕雀科,,
906,灰头灰雀,,Pyrrhula erythaca,Grey-headed Bullfinch,雀形目,燕雀科,,
907,红头灰雀,,Pyrrhula erythrocephala,Red-headed Bullfinch,雀形目,燕雀科,,
908,褐灰雀,,Pyrrhula nipalensis,Brown Bullfinch,雀形目,燕雀科,,
909,台湾灰头灰雀,,Pyrrhula owstnoi,Taiwan Grey-headed Bullfinch,雀形目,燕雀科,,
910,红腹灰雀,,Pyrrhula pyrrhula,Eurasian Bullfinch,雀形目,燕雀科,,
911,红翅沙雀,,Rhodopechys sanguineus,Eurasian Crimson-winged Finch,雀形目,燕雀科,,
912,巨嘴沙雀,,Rhodospiza obsoleta,Desert Finch,雀形目,燕雀科,,
913,金额丝雀,,Serinus pusillus,Red-fronted Serin,雀形目,燕雀科,,
914,黄雀,,Spinus spinus,Eurasian Siskin,雀形目,燕雀科,,
915,藏黄雀,,Spinus thibetanus,Tibetan Serin,雀形目,燕雀科,,
916,灰燕鵙,,Artamus fuscus,Ashy Woodswallow,雀形目,燕鵙科,,
917,黄腹扇尾鹟,,Chelidorhynx hypoxanthus,Yellow-bellied Fantail,雀形目,玉鹟科,,
918,方尾鹟,,Culicicapa ceylonensis,Grey-headed Canary-flycatcher,雀形目,玉鹟科,,
919,黑枕王鹟,,Hypothymis azurea,Black-naped Monarch,雀形目,王鹟科,,
920,东方寿带,中南寿带,Terpsiphone affinis,Oriental Paradise Flycatcher,雀形目,王鹟科,,
921,紫寿带,,Terpsiphone atrocaudata,Japanese Paradise Flycatcher,雀形目,王鹟科,,
922,寿带,,Terpsiphone incei,Chinese Paradise Flycatcher,雀形目,王鹟科,,
923,印度寿带,印缅寿带,Terpsiphone paradisi,Indian Paradise Flycatcher,雀形目,王鹟科,,
924,云雀,,Alauda arvensis,Eurasian Skylark,雀形目,百灵科,,
925,小云雀,,Alauda gulgula,Oriental Skylark,雀形目,百灵科,,
926,白翅云雀,,Alauda leucoptera,White-winged Lark,雀形目,百灵科,,
927,短趾百灵,,Alaudala cheleensis,Asian Short-toed Lark,雀形目,百灵科,,
928,中亚短趾百灵,,Alaudala heinei,Turkestan Short-toed Lark,雀形目,百灵科,,
929,细嘴短趾百灵,,Calandrella acutirostris,Hume's Short-toed Lark,雀形目,百灵科,,
930,大短趾百灵,,Calandrella brachydactyla,Greater Short-toed Lark,雀形目,百灵科,,
931,中华短趾百灵,,Calandrella dukhunensis,Mongolian Short-toed Lark,雀形目,百灵科,,
932,角百灵,,Eremophila alpestris,Horned Lark,雀形目,百灵科,,
933,凤头百灵,,Galerida cristata,Crested Lark,雀形目,百灵科,,
934,双斑百灵,,Melanocorypha bimaculata,Bimaculated Lark,雀形目,百灵科,,
935,草原百灵,,Melanocorypha calandra,Calandra Lark,雀形目,百灵科,,
936,长嘴百灵,,Melanocorypha maxima,Tibetan Lark,雀形目,百灵科,,
937,蒙古百灵,,Melanocorypha mongolica,Mongolian Lark,雀形目,百灵科,,
938,黑百灵,,Melanocorypha yeltoniensis,Black Lark,雀形目,百灵科,,
939,歌百灵,,Mirafra javanica,Horsfield's Bush Lark,雀形目,百灵科,,
940,纹胸织雀,,Ploceus manyar,Streaked Weaver,雀形目,织雀科,,
941,黄胸织雀,,Ploceus philippinus,Baya Weaver,雀形目,织雀科,,
942,白颈凤鹛,,Parayuhina bakeri,White-naped Yuhina,雀形目,绣眼鸟科,,
943,白领凤鹛,,Parayuhina diademata,White-collared Yuhina,雀形目,绣眼鸟科,,
944,栗耳凤鹛,,Staphida castaniceps,Striated Yuhina,雀形目,绣眼鸟科,,
945,栗颈凤鹛,,Staphida torqueola,Indochinese Yuhina,雀形目,绣眼鸟科,,
946,褐头凤鹛,,Yuhina brunneiceps,Taiwan Yuhina,雀形目,绣眼鸟科,,
947,黄颈凤鹛,,Yuhina flavicollis,Whiskered Yuhina,雀形目,绣眼鸟科,,
948,纹喉凤鹛,,Yuhina gularis,Stripe-throated Yuhina,雀形目,绣眼鸟科,,
949,黑颏凤鹛,,Yuhina nigrimenta,Black-chinned Yuhina,雀形目,绣眼鸟科,,
950,棕臀凤鹛,,Yuhina occipitalis,Rufous-vented Yuhina,雀形目,绣眼鸟科,,
951,红胁绣眼鸟,,Zosterops erythropleurus,Chestnut-flanked White-eye,雀形目,绣眼鸟科,,
952,日本绣眼鸟,,Zosterops japonicus,Warbling White-eye,雀形目,绣眼鸟科,,
953,低地绣眼鸟,,Zosterops meyeni,Lowland White-eye,雀形目,绣眼鸟科,,
954,灰腹绣眼鸟,,Zosterops palpebrosus,Indian White-eye,雀形目,绣眼鸟科,,
955,暗绿绣眼鸟,,Zosterops simplex,Swinhoe's  White-eye,雀形目,绣眼鸟科,,
956,叉尾太阳鸟,,Aethopyga christinae,Fork-tailed Sunbird,雀形目,花蜜鸟科,,
957,蓝喉太阳鸟,,Aethopyga gouldiae,Mrs. Gould's Sunbird,雀形目,花蜜鸟科,,
958,火尾太阳鸟,,Aethopyga ignicauda,Fire-tailed Sunbird,雀形目,花蜜鸟科,,
959,绿喉太阳鸟,,Aethopyga nipalensis,Green-tailed Sunbird,雀形目,花蜜鸟科,,
960,黑胸太阳鸟,,Aethopyga saturata,Black-throated Sunbird,雀形目,花蜜鸟科,,
961,黄腰太阳鸟,,Aethopyga siparaja,Crimson Sunbird,雀形目,花蜜鸟科,,
962,褐喉食蜜鸟,,Anthreptes malacensis,Brown-throated Sunbird,雀形目,花蜜鸟科,,
963,长嘴捕蛛鸟,,Arachnothera longirostra,Little Spiderhunter,雀形目,花蜜鸟科,,
964,纹背捕蛛鸟,,Arachnothera magna,Streaked Spiderhunter,雀形目,花蜜鸟科,,
965,紫颊太阳鸟,紫颊直嘴太阳鸟,Chalcoparia singalensis,Ruby-cheeked Sunbird,雀形目,花蜜鸟科,,
966,紫花蜜鸟,,Cinnyris asiaticus,Purple Sunbird,雀形目,花蜜鸟科,,
967,黄腹花蜜鸟,,Cinnyris jugularis,Olive-backed Sunbird,雀形目,花蜜鸟科,,
968,蓝枕花蜜鸟,,Kurochkinegramma hypogrammicum,Purple-naped Sunbird,雀形目,花蜜鸟科,,
969,稻田苇莺,,Acrocephalus agricola,Paddyfield Warbler,雀形目,苇莺科,,
970,大苇莺,,Acrocephalus arundinaceus,Great Reed Warbler,雀形目,苇莺科,,
971,黑眉苇莺,,Acrocephalus bistrigiceps,Black-browed Reed Warbler,雀形目,苇莺科,,
972,钝翅苇莺,,Acrocephalus concinens,Blunt-winged Warbler,雀形目,苇莺科,,
973,布氏苇莺,,Acrocephalus dumetorum,Blyth's Reed Warbler,雀形目,苇莺科,,
974,须苇莺,,Acrocephalus melanopogon,Moustached Warbler,雀形目,苇莺科,,
975,东方大苇莺,,Acrocephalus orientalis,Oriental Reed Warbler,雀形目,苇莺科,,
976,蒲苇莺,,Acrocephalus schoenobaenus,Sedge Warbler,雀形目,苇莺科,,
977,芦莺,,Acrocephalus scirpaceus,Eurasian Reed Warbler,雀形目,苇莺科,,
978,细纹苇莺,,Acrocephalus sorghophilus,Speckled Reed Warbler,雀形目,苇莺科,,
979,噪苇莺,,Acrocephalus stentoreus,Clamorous Reed Warbler,雀形目,苇莺科,,
980,远东苇莺,,Acrocephalus tangorum,Manchurian Reed Warbler,雀形目,苇莺科,,
981,厚嘴苇莺,,Arundinax aedon,Thick-billed Warbler,雀形目,苇莺科,,
982,靴篱莺,,Iduna caligata,Booted Warbler,雀形目,苇莺科,,
983,草绿篱莺,,Iduna pallida,Eastern Olivaceous Warbler,雀形目,苇莺科,,
984,赛氏篱莺,,Iduna rama,Sykes's Warbler,雀形目,苇莺科,,
985,白腹凤鹛,,Erpornis zantholeuca,White-bellied Erpornis,雀形目,莺雀科,,
986,红翅鵙鹛,,Pteruthius aeralatus,Blyth's Shrike-babbler,雀形目,莺雀科,,
987,栗额鵙鹛,,Pteruthius intermedius,Clicking Shrike-babbler,雀形目,莺雀科,,
988,栗喉鵙鹛,,Pteruthius melanotis,Black-eared Shrike-babbler,雀形目,莺雀科,,
989,棕腹鵙鹛,,Pteruthius rufiventer,Black-headed Shrike-babbler,雀形目,莺雀科,,
990,淡绿鵙鹛,,Pteruthius xanthochlorus,Green Shrike-babbler,雀形目,莺雀科,,
991,休氏白喉林莺,,Curruca althaea,Hume's Whitethroat,雀形目,莺鹛科,,
992,灰白喉林莺,,Curruca communis,Common Whitethroat,雀形目,莺鹛科,,
993,东歌林莺,,Curruca crassirostris,Eastern Orphean Warbler,雀形目,莺鹛科,,
994,白喉林莺,,Curruca curruca,Lesser Whitethroat,雀形目,莺鹛科,,
995,漠白喉林莺,,Curruca minula,Desert Whitethroat,雀形目,莺鹛科,,
996,荒漠林莺,,Curruca nana,Asian Desert Warbler,雀形目,莺鹛科,,
997,横斑林莺,,Curruca nisoria,Barred Warbler,雀形目,莺鹛科,,
998,黑顶林莺,,Sylvia atricapilla,Eurasian Blackcap,雀形目,莺鹛科,,
999,库页岛蝗莺,,Helopsaltes amnicola,Sakhalin Grasshopper Warbler,雀形目,蝗莺科,,
1000,小蝗莺,,Helopsaltes certhiola,Pallas's Grasshopper Warbler,雀形目,蝗莺科,,
1001,苍眉蝗莺,,Helopsaltes fasciolatus,Gray's Grasshopper Warbler,雀形目,蝗莺科,,
1002,北蝗莺,,Helopsaltes ochotensis,Middendorff's Grasshopper Warbler,雀形目,蝗莺科,,
1003,东亚蝗莺,,Helopsaltes pleskei,Styan's Grasshopper Warbler,雀形目,蝗莺科,,
1004,斑背大尾莺,,Helopsaltes pryeri,Marsh Grassbird,雀形目,蝗莺科,,
1005,台湾短翅蝗莺,,Locustella alishanensis,Taiwan Bush Warbler,雀形目,蝗莺科,,
1006,四川短翅蝗莺,,Locustella chengi,Sichuan Bush Warbler,雀形目,蝗莺科,,
1007,北短翅蝗莺,,Locustella davidi,Baikal Bush Warbler,雀形目,蝗莺科,,
1008,矛斑蝗莺,,Locustella lanceolata,Lanceolated Warbler,雀形目,蝗莺科,,
1009,鸲蝗莺,,Locustella luscinioides,Savi's Warbler,雀形目,蝗莺科,,
1010,棕褐短翅蝗莺,,Locustella luteoventris,Brown Bush Warbler,雀形目,蝗莺科,,
1011,巨嘴短翅蝗莺,,Locustella major,Long-billed Bush Warbler,雀形目,蝗莺科,,
1012,高山短翅蝗莺,,Locustella mandelli,Russet Bush Warbler,雀形目,蝗莺科,,
1013,黑斑蝗莺,,Locustella naevia,Common Grasshopper Warbler,雀形目,蝗莺科,,
1014,中华短翅蝗莺,,Locustella tacsanowskia,Chinese Bush Warbler,雀形目,蝗莺科,,
1015,斑胸短翅蝗莺,,Locustella thoracica,Spotted Bush Warbler,雀形目,蝗莺科,,
1016,沼泽大尾莺,,Megalurus palustris,Striated Grassbird,雀形目,蝗莺科,,
1017,褐背鹟鵙,,Hemipus picatus,Bar-winged Flycatcher-shrike,雀形目,钩嘴鵙科,,
1018,钩嘴林鵙,,Tephrodornis virgatus,Large Woodshrike,雀形目,钩嘴鵙科,,
1019,铁爪鹀,,Calcarius lapponicus,Lapland Longspur,雀形目,铁爪鹀科,,
1020,雪鹀,,Plectrophenax nivalis,Snow Bunting,雀形目,铁爪鹀科,,
1021,黑眉长尾山雀,,Aegithalos bonvaloti,Black-browed Bushtit,雀形目,长尾山雀科,,
1022,北长尾山雀,,Aegithalos caudatus,Long-tailed Tit,雀形目,长尾山雀科,,
1023,红头长尾山雀,,Aegithalos concinnus,Black-throated Bushtit,雀形目,长尾山雀科,,
1024,银脸长尾山雀,,Aegithalos fuliginosus,Sooty Bushtit,雀形目,长尾山雀科,,
1025,银喉长尾山雀,,Aegithalos glaucogularis,Silver-throated Bushtit,雀形目,长尾山雀科,,
1026,棕额长尾山雀,,Aegithalos iouschistos,Rufous-fronted Bushtit,雀形目,长尾山雀科,,
1027,凤头雀莺,,Leptopoecile elegans,Crested Tit-warbler,雀形目,长尾山雀科,,
1028,花彩雀莺,,Leptopoecile sophiae,White-browed Tit-warbler,雀形目,长尾山雀科,,
1029,长尾阔嘴鸟,,Psarisomus dalhousiae,Long-tailed Broadbill,雀形目,阔嘴鸟科,,
1030,银胸丝冠鸟,,Serilophus lunatus,Silver-breasted Broadbill,雀形目,阔嘴鸟科,,
1031,褐翅雪雀,,Montifringilla adamsi,Black-winged Snowfinch,雀形目,雀科,,
1032,藏雪雀,,Montifringilla henrici,Tibetan Snowfinch,雀形目,雀科,,
1033,白斑翅雪雀,,Montifringilla nivalis,White-winged Snowfinch,雀形目,雀科,,
1034,白腰雪雀,,Onychostruthus taczanowskii,White-rumped Snowfinch,雀形目,雀科,,
1035,黑顶麻雀,,Passer ammodendri,Saxaul Sparrow,雀形目,雀科,,
1036,山麻雀,,Passer cinnamomeus,Russet Sparrow,雀形目,雀科,,
1037,家麻雀,,Passer domesticus,House Sparrow,雀形目,雀科,,
1038,黑胸麻雀,,Passer hispaniolensis,Spanish Sparrow,雀形目,雀科,,
1039,麻雀,,Passer montanus,Eurasian Tree Sparrow,雀形目,雀科,,
1040,石雀,,Petronia petronia,Rock Sparrow,雀形目,雀科,,
1041,棕背雪雀,,Pyrgilauda blanfordi,Plain-backed Snowfinch,雀形目,雀科,,
1042,黑喉雪雀,,Pyrgilauda davidiana,Small Snowfinch,雀形目,雀科,,
1043,棕颈雪雀,,Pyrgilauda ruficollis,Rufous-necked Snowfinch,雀形目,雀科,,
1044,稀树草鹀,,Passerculus sandwichensis,Savannah Sparrow,雀形目,雀鹀科,,
1045,白冠带鹀,,Zonotrichia leucophrys,White-crowned Sparrow,雀形目,雀鹀科,,
1046,大绿雀鹎,,Aegithina lafresnayei,Great Iora,雀形目,雀鹎科,,
1047,黑翅雀鹎,,Aegithina tiphia,Common Iora,雀形目,雀鹎科,,
1048,灰眶雀鹛,,Alcippe davidi,David's Fulvetta,雀形目,雀鹛科,,
1049,云南雀鹛,,Alcippe fratercula,Yunnan Fulvetta,雀形目,雀鹛科,,
1050,淡眉雀鹛,,Alcippe hueti,Huet's Fulvetta,雀形目,雀鹛科,,
1051,台湾雀鹛,,Alcippe morrisonia,Grey-cheeked Fulvetta,雀形目,雀鹛科,,
1052,白眶雀鹛,,Alcippe nipalensis,Nepal Fulvetta,雀形目,雀鹛科,,
1053,褐脸雀鹛,,Alcippe poioicephala,Brown-cheeked Fulvetta,雀形目,雀鹛科,,
1054,鳞胸鹪鹛,,Pnoepyga albiventer,Scaly-breasted Cupwing,雀形目,鳞胸鹪鹛科,,
1055,台湾鹪鹛,,Pnoepyga formosana,Taiwan Cupwing,雀形目,鳞胸鹪鹛科,,
1056,尼泊尔鹪鹛,,Pnoepyga immaculata,Nepal Cupwing,雀形目,鳞胸鹪鹛科,,
1057,小鳞胸鹪鹛,,Pnoepyga pusilla,Pygmy Cupwing,雀形目,鳞胸鹪鹛科,,
1058,蓝绿鹊,,Cissa chinensis,Common Green Magpie,雀形目,鸦科,,
1059,黄胸绿鹊,,Cissa hypoleuca,Indochinese Green Magpie,雀形目,鸦科,,
1060,渡鸦,,Corvus corax,Northern Raven,雀形目,鸦科,,
1061,冠小嘴乌鸦,,Corvus cornix,Hooded Crow,雀形目,鸦科,,
1062,小嘴乌鸦,,Corvus corone,Carrion Crow,雀形目,鸦科,,
1063,达乌里寒鸦,,Corvus dauuricus,Daurian Jackdaw,雀形目,鸦科,,
1064,秃鼻乌鸦,,Corvus frugilegus,Rook,雀形目,鸦科,,
1065,大嘴乌鸦,,Corvus macrorhynchos,Large-billed Crow,雀形目,鸦科,,
1066,寒鸦,,Corvus monedula,Western Jackdaw,雀形目,鸦科,,
1067,白颈鸦,,Corvus pectoralis,Collared Crow,雀形目,鸦科,,
1068,家鸦,,Corvus splendens,House Crow,雀形目,鸦科,,
1069,灰喜鹊,,Cyanopica cyanus,Azure-winged Magpie,雀形目,鸦科,,
1070,灰树鹊,,Dendrocitta formosae,Grey Treepie,雀形目,鸦科,,
1071,黑额树鹊,,Dendrocitta frontalis,Collared Treepie,雀形目,鸦科,,
1072,棕腹树鹊,,Dendrocitta vagabunda,Rufous Treepie,雀形目,鸦科,,
1073,松鸦,,Garrulus glandarius,Eurasian Jay,雀形目,鸦科,,
1074,星鸦,,Nucifraga caryocatactes,Spotted Nutcracker,雀形目,鸦科,,
1075,北噪鸦,,Perisoreus infaustus,Siberian Jay,雀形目,鸦科,,
1076,黑头噪鸦,,Perisoreus internigrans,Sichuan Jay,雀形目,鸦科,,
1077,青藏喜鹊,,Pica bottanensis,Black-rumped Magpie,雀形目,鸦科,,
1078,欧亚喜鹊,,Pica pica,Eurasian Magpie,雀形目,鸦科,,
1079,喜鹊,,Pica serica,Oriental Magpie,雀形目,鸦科,,
1080,白尾地鸦,,Podoces biddulphi,Xinjiang Ground-jay,雀形目,鸦科,,
1081,黑尾地鸦,,Podoces hendersoni,Henderson's Ground Jay,雀形目,鸦科,,
1082,黄嘴山鸦,,Pyrrhocorax graculus,Alpine Chough,雀形目,鸦科,,
1083,红嘴山鸦,,Pyrrhocorax pyrrhocorax,Red-billed Chough,雀形目,鸦科,,
1084,塔尾树鹊,,Temnurus temnurus,Ratchet-tailed Treepie,雀形目,鸦科,,
1085,台湾蓝鹊,,Urocissa caerulea,Taiwan Blue Magpie,雀形目,鸦科,,
1086,红嘴蓝鹊,,Urocissa erythroryncha,Red-billed Blue Magpie,雀形目,鸦科,,
1087,黄嘴蓝鹊,,Urocissa flavirostris,Yellow-billed Blue Magpie,雀形目,鸦科,,
1088,白翅蓝鹊,,Urocissa whiteheadi,White-winged Magpie,雀形目,鸦科,,
1089,黑眉鸦雀,,Chleuasicus atrosuperciliaris,Pale-billed Parrotbill,雀形目,鸦雀科,,
1090,三趾鸦雀,,Cholornis paradoxus,Three-toed Parrotbill,雀形目,鸦雀科,,
1091,褐鸦雀,,Cholornis unicolor,Brown Parrotbill,雀形目,鸦雀科,,
1092,金眼鹛雀,,Chrysomma sinense,Yellow-eyed Babbler,雀形目,鸦雀科,,
1093,红嘴鸦雀,,Conostoma aemodium,Great Parrotbill,雀形目,鸦雀科,,
1094,灰头雀鹛,,Fulvetta cinereiceps,Grey-hooded Fulvetta,雀形目,鸦雀科,,
1095,玉山雀鹛,,Fulvetta formosana,Taiwan Fulvetta,雀形目,鸦雀科,,
1096,路氏雀鹛,,Fulvetta ludlowi,Brown-throated Fulvetta,雀形目,鸦雀科,,
